iter	Passed	Remaining
0	24	24036
1	42	21099
2	57	19109
3	75	18706
4	90	17947
5	106	17612
6	123	17492
7	138	17171
8	152	16743
9	164	16319
10	182	16391
11	199	16454
12	219	16627
13	235	16595
14	252	16600
15	267	16444
16	283	16388
17	296	16196
18	314	16240
19	330	16181
20	346	16174
21	360	16019
22	378	16096
23	393	16007
24	406	15863
25	420	15752
26	446	16081
27	460	15987
28	475	15928
29	491	15894
30	506	15836
31	521	15768
32	534	15672
33	550	15629
34	566	15618
35	581	15580
36	595	15506
37	611	15472
38	624	15381
39	640	15368
40	655	15324
41	668	15239
42	682	15200
43	698	15173
44	713	15150
45	729	15129
46	746	15132
47	764	15159
48	780	15146
49	798	15162
50	810	15078
51	824	15026
52	839	15009
53	855	14986
54	869	14946
55	886	14947
56	899	14887
57	915	14864
58	929	14829
59	947	14836
60	960	14792
61	978	14806
62	993	14771
63	1009	14767
64	1026	14764
65	1044	14782
66	1062	14790
67	1081	14826
68	1102	14872
69	1121	14905
70	1140	14922
71	1164	15014
72	1192	15139
73	1208	15125
74	1225	15112
75	1243	15117
76	1260	15106
77	1277	15100
78	1294	15093
79	1310	15065
80	1325	15038
81	1339	14997
82	1355	14974
83	1375	15001
84	1390	14973
85	1403	14919
86	1418	14880
87	1439	14919
88	1455	14900
89	1471	14873
90	1488	14863
91	1503	14835
92	1520	14827
93	1535	14803
94	1552	14788
95	1569	14781
96	1582	14728
97	1594	14679
98	1611	14666
99	1625	14633
100	1640	14605
101	1657	14591
102	1674	14583
103	1693	14589
104	1709	14571
105	1730	14592
106	1745	14570
107	1760	14539
108	1779	14543
109	1791	14498
110	1806	14468
111	1822	14447
112	1838	14434
113	1852	14395
114	1867	14368
115	1882	14343
116	1895	14306
117	1910	14279
118	1924	14245
119	1942	14246
120	1956	14214
121	1970	14183
122	1986	14162
123	1999	14128
124	2014	14104
125	2031	14088
126	2047	14072
127	2064	14061
128	2081	14052
129	2096	14030
130	2113	14016
131	2126	13982
132	2141	13958
133	2156	13938
134	2172	13919
135	2190	13914
136	2205	13895
137	2218	13855
138	2232	13829
139	2247	13804
140	2262	13783
141	2278	13765
142	2293	13747
143	2310	13732
144	2322	13695
145	2340	13689
146	2355	13665
147	2369	13637
148	2384	13617
149	2400	13605
150	2415	13583
151	2431	13567
152	2446	13544
153	2461	13519
154	2477	13507
155	2493	13490
156	2506	13460
157	2521	13439
158	2535	13412
159	2550	13387
160	2565	13371
161	2577	13334
162	2592	13314
163	2609	13300
164	2623	13275
165	2637	13252
166	2655	13244
167	2671	13230
168	2687	13214
169	2705	13211
170	2720	13187
171	2735	13170
172	2750	13148
173	2765	13127
174	2778	13096
175	2791	13068
176	2806	13047
177	2820	13024
178	2833	12996
179	2847	12969
180	2860	12943
181	2873	12917
182	2888	12896
183	2904	12882
184	2922	12873
185	2937	12854
186	2953	12838
187	2969	12824
188	2984	12805
189	2998	12781
190	3014	12768
191	3032	12760
192	3050	12753
193	3067	12745
194	3083	12729
195	3102	12727
196	3120	12721
197	3133	12693
198	3150	12679
199	3169	12677
200	3185	12662
201	3201	12647
202	3216	12628
203	3232	12614
204	3248	12598
205	3264	12582
206	3280	12569
207	3296	12551
208	3312	12536
209	3331	12532
210	3348	12522
211	3363	12503
212	3377	12478
213	3392	12460
214	3411	12456
215	3431	12454
216	3445	12433
217	3460	12414
218	3476	12397
219	3490	12375
220	3504	12351
221	3521	12341
222	3536	12320
223	3550	12300
224	3564	12277
225	3579	12260
226	3594	12240
227	3609	12220
228	3623	12199
229	3640	12188
230	3657	12176
231	3674	12162
232	3689	12145
233	3705	12131
234	3721	12116
235	3738	12104
236	3760	12105
237	3776	12090
238	3794	12082
239	3810	12065
240	3825	12047
241	3843	12038
242	3859	12024
243	3874	12003
244	3890	11988
245	3905	11969
246	3922	11959
247	3938	11942
248	3954	11928
249	3970	11911
250	3985	11893
251	4000	11875
252	4017	11861
253	4032	11842
254	4048	11827
255	4072	11835
256	4097	11845
257	4118	11845
258	4133	11825
259	4146	11802
260	4162	11786
261	4175	11760
262	4188	11736
263	4201	11712
264	4213	11687
265	4227	11664
266	4240	11640
267	4252	11615
268	4267	11596
269	4279	11569
270	4292	11546
271	4305	11524
272	4320	11504
273	4332	11479
274	4344	11453
275	4359	11435
276	4373	11415
277	4388	11397
278	4408	11391
279	4420	11365
280	4437	11355
281	4451	11334
282	4465	11312
283	4479	11294
284	4493	11272
285	4506	11250
286	4519	11228
287	4531	11202
288	4543	11178
289	4557	11157
290	4569	11133
291	4584	11115
292	4596	11091
293	4608	11066
294	4620	11041
295	4633	11019
296	4645	10997
297	4660	10978
298	4673	10957
299	4690	10945
300	4709	10936
301	4721	10913
302	4739	10902
303	4752	10881
304	4765	10858
305	4778	10837
306	4790	10814
307	4803	10791
308	4815	10769
309	4828	10747
310	4844	10732
311	4858	10713
312	4872	10694
313	4885	10673
314	4903	10663
315	4916	10642
316	4928	10618
317	4941	10597
318	4954	10576
319	4968	10557
320	4979	10533
321	4995	10519
322	5007	10494
323	5019	10473
324	5031	10449
325	5044	10429
326	5057	10408
327	5074	10396
328	5094	10389
329	5109	10373
330	5125	10358
331	5144	10350
332	5158	10331
333	5170	10310
334	5183	10289
335	5198	10272
336	5212	10255
337	5225	10235
338	5238	10214
339	5252	10196
340	5267	10179
341	5280	10160
342	5294	10140
343	5308	10123
344	5321	10103
345	5334	10083
346	5346	10061
347	5360	10042
348	5371	10019
349	5384	9999
350	5401	9987
351	5415	9968
352	5426	9946
353	5441	9929
354	5453	9909
355	5468	9892
356	5482	9874
357	5494	9853
358	5508	9834
359	5520	9814
360	5533	9795
361	5546	9775
362	5559	9755
363	5570	9732
364	5583	9712
365	5595	9693
366	5609	9675
367	5623	9657
368	5637	9641
369	5650	9620
370	5664	9602
371	5677	9583
372	5690	9564
373	5704	9547
374	5721	9535
375	5734	9516
376	5746	9496
377	5760	9479
378	5773	9460
379	5786	9441
380	5800	9424
381	5815	9408
382	5829	9391
383	5842	9372
384	5858	9357
385	5872	9340
386	5888	9326
387	5900	9307
388	5925	9307
389	5944	9297
390	5958	9281
391	5971	9262
392	5986	9245
393	6000	9228
394	6014	9212
395	6027	9192
396	6039	9172
397	6054	9157
398	6065	9136
399	6078	9117
400	6092	9101
401	6112	9092
402	6136	9089
403	6157	9083
404	6174	9070
405	6188	9054
406	6202	9036
407	6217	9021
408	6231	9004
409	6244	8986
410	6259	8970
411	6273	8953
412	6288	8937
413	6301	8920
414	6314	8900
415	6326	8881
416	6341	8865
417	6354	8847
418	6368	8831
419	6382	8813
420	6394	8794
421	6408	8776
422	6420	8757
423	6433	8740
424	6446	8721
425	6458	8701
426	6471	8683
427	6485	8667
428	6497	8648
429	6508	8627
430	6519	8607
431	6534	8591
432	6547	8573
433	6559	8554
434	6572	8537
435	6585	8518
436	6597	8499
437	6609	8480
438	6621	8461
439	6638	8448
440	6652	8432
441	6666	8415
442	6681	8401
443	6697	8386
444	6710	8369
445	6723	8351
446	6735	8333
447	6751	8318
448	6764	8301
449	6778	8285
450	6792	8268
451	6806	8252
452	6819	8235
453	6832	8216
454	6846	8201
455	6859	8183
456	6875	8169
457	6887	8150
458	6899	8131
459	6911	8113
460	6924	8096
461	6937	8078
462	6951	8062
463	6963	8044
464	6976	8026
465	6991	8011
466	7004	7994
467	7016	7975
468	7028	7957
469	7041	7940
470	7053	7922
471	7065	7903
472	7077	7885
473	7090	7868
474	7105	7853
475	7118	7836
476	7134	7822
477	7145	7803
478	7158	7786
479	7172	7769
480	7184	7752
481	7197	7735
482	7211	7719
483	7226	7704
484	7238	7686
485	7249	7667
486	7262	7650
487	7276	7634
